source,target,orientation
r1,p113,430
r1,p76,634
r10,p367,706
r10,p65,706
r100,p146,156
r101,p244,634
r101,p363,696
r101,p443,706
r102,p13,706
r102,p140,441
r102,p165,514
r102,p166,634
r102,p176,634
r102,p195,156
r102,p222,706
r102,p233,515
r102,p257,696
r102,p27,515
r102,p289,643
r102,p310,634
r102,p323,158
r102,p327,635
r102,p329,706
r102,p331,430
r102,p369,643
r102,p375,187
r102,p436,224
r102,p462,706
r102,p50,224
r102,p562,685
r102,p84,696
r103,p99,634
r104,p1012,96
r104,p396,80
r109,p279,130
r109,p431,80
r11,p1164,130
r11,p1165,187
r11,p1166,634
r11,p424,430
r11,p494,96
r11,p495,706
r11,p986,695
r110,p289,643
r110,p329,706
r110,p408,156
r111,p1167,441
r111,p1168,563
r111,p1169,599
r111,p1170,635
r111,p1171,643
r111,p274,349
r111,p303,430
r111,p461,96
r111,p72,695
r111,p988,349
r111,p989,514
r111,p990,643
r112,p11,80
r112,p365,695
r113,p321,80
r113,p460,80
r115,p318,634
r116,p1146,80
r116,p859,80
r117,p547,706
r117,p73,706
r119,p82,156
r12,p27,515
r12,p50,224
r121,p13,706
r121,p140,441
r121,p165,514
r121,p166,634
r121,p176,634
r121,p195,156
r121,p222,706
r121,p233,515
r121,p257,696
r121,p27,515
r121,p289,643
r121,p310,634
r121,p323,158
r121,p327,635
r121,p329,706
r121,p331,430
r121,p369,643
r121,p375,187
r121,p380,187
r121,p436,224
r121,p462,706
r121,p50,224
r121,p562,685
r121,p85,560
r122,p313,514
r122,p569,80
r122,p615,80
r122,p860,643
r122,p861,695
r123,p321,80
r123,p68,80
r123,p74,80
r124,p165,514
r124,p195,156
r124,p289,643
r124,p327,635
r124,p329,706
r124,p395,156
r124,p408,156
r124,p614,706
r124,p99,634
r126,p165,514
r126,p176,634
r126,p257,696
r126,p310,634
r126,p359,441
r127,p274,349
r127,p303,430
r127,p461,96
r128,p395,156
r128,p99,634
r129,p272,158
r129,p59,695
r129,p609,80
r13,p1167,441
r13,p1168,563
r13,p1169,599
r13,p1170,635
r13,p1171,643
r13,p274,349
r13,p303,430
r13,p422,71
r13,p461,96
r13,p72,695
r13,p988,349
r13,p989,514
r13,p990,643
r131,p140,441
r131,p233,515
r131,p27,515
r131,p323,158
r131,p50,224
r132,p176,634
r133,p109,158
r133,p1203,514
r134,p249,634
r134,p941,130
r134,p994,82
r134,p995,560
r134,p999,634
r135,p247,156
r135,p917,80
r136,p107,643
r136,p15,643
r136,p286,312
r136,p287,441
r137,p289,643
r137,p329,706
r137,p408,156
r138,p419,706
r139,p1203,514
r139,p249,634
r139,p381,706
r139,p994,82
r139,p995,560
r139,p996,515
r139,p997,567
r139,p998,349
r139,p999,634
r14,p99,634
r141,p196,706
r141,p321,80
r141,p381,706
r141,p68,80
r142,p114,695
r142,p14,515
r142,p209,80
r142,p22,514
r142,p259,156
r142,p360,695
r142,p86,430
r144,p249,634
